year,month,W06,W07,W08,W09,W71,W75,W76,W77,total
2021,1,433,819,537,513,146,239,132,122,2941
2021,2,436,837,547,548,131,218,126,123,2966
2021,3,435,837,559,566,125,217,124,120,2983
2021,4,444,862,565,614,114,207,115,119,3040
2021,5,449,895,589,645,104,188,103,118,3091
2021,6,445,921,601,665,102,172,100,107,3113
2021,7,448,922,636,691,95,172,97,108,3169
2021,8,439,935,639,713,93,177,88,116,3200
2021,9,434,943,639,731,92,179,89,119,3226
2021,10,428,960,648,735,88,174,83,117,3233
2021,11,432,970,658,746,78,162,70,101,3217
2021,12,430,969,661,701,73,152,71,91,3148
2022,1,427,968,622,698,73,145,68,91,3092
2022,2,426,977,625,715,72,136,66,83,3100
2022,3,421,982,628,726,69,132,64,84,3106
2022,4,419,978,645,736,69,133,64,82,3126
2022,5,421,965,682,745,67,128,62,82,3152
2022,6,412,972,692,764,65,127,63,76,3171
2022,7,412,978,730,778,61,127,57,76,3219
2022,8,413,979,751,791,57,121,54,72,3238
2022,9,410,993,734,783,51,112,52,68,3203
2022,10,405,1004,722,785,47,111,50,70,3194
2022,11,398,998,720,776,48,110,52,70,3172
2022,12,403,985,713,783,46,108,49,70,3157
2023,1,398,970,724,784,47,107,49,70,3149
2023,2,393,971,719,798,46,106,50,70,3153
2023,3,391,978,726,809,44,106,49,66,3169
2023,4,384,976,753,819,41,97,46,66,3182
2023,5,385,977,756,831,39,101,40,64,3193
2023,6,371,987,729,856,38,92,39,59,3171
2023,7,373,993,736,894,36,87,38,57,3214
2023,8,365,981,760,899,36,88,37,57,3223
2023,9,364,971,766,909,35,88,38,59,3230
2023,10,356,977,770,915,35,88,37,58,3236
2023,11,359,971,767,910,33,86,36,60,3222
2023,12,357,973,763,897,32,88,37,54,3201
2024,1,359,980,767,895,32,87,36,51,3207
2024,2,358,975,766,899,32,84,36,53,3203
2024,3,351,982,765,901,31,82,35,54,3201
2024,4,356,994,767,910,27,77,36,50,3217
2024,5,353,1002,766,922,27,74,36,49,3229
2024,6,353,993,756,928,25,76,35,48,3214
2024,7,347,981,749,955,24,76,34,49,3215
2024,8,343,971,740,970,24,77,35,47,3207
2024,9,332,959,729,973,21,72,31,38,3155
2024,10,330,953,722,962,20,71,32,43,3133
2024,11,332,950,707,955,18,69,32,36,3099
2024,12,332,939,712,962,18,68,33,37,3101
2025,1,329,936,710,953,18,68,32,36,3082
2025,2,325,925,713,929,18,64,34,36,3044
2025,3,321,929,711,943,18,64,33,36,3055
2025,4,318,946,703,952,18,62,32,38,3069
2025,5,307,947,702,964,18,63,32,39,3072
2025,6,299,950,701,981,17,63,29,41,3081
2025,7,300,956,696,986,14,57,29,39,3077
2025,8,298,946,698,990,13,55,29,41,3070
2025,9,294,946,697,992,13,54,28,41,3065
2025,10,288,935,690,991,12,54,28,42,3040
2025,11,283,930,675,984,12,52,28,40,3004
2025,12,276,908,648,952,11,48,29,36,2908
2026,1,270,907,612,921,12,50,27,35,2834
2026,2,263,901,618,922,12,49,26,35,2826
2026,3,259,890,608,914,12,46,25,32,2786
2026,4,258,866,607,915,12,46,24,29,2757
2026,5,252,862,595,910,12,45,21,29,2726
